Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Target_Age_Group,Budget (USD),Impressions,Clicks,Conversions,Revenue (USD),Region,Campaign_Duration,CTR,Conversion_Rate,ROI,Campaign_Status,Revenue_per_Dollar,Efficiency_Bucket
MKT0051,Campaign_26,2024-10-12,2024-10-29,Email,46-60,16225,710005,78750,13551,18408.82,South,17,0.11,0.17,0.13,Profitable,1.13,Break-even
MKT0052,Campaign_387,2024-08-14,2024-09-12,Influencer,46-60,15611,950790,38259,9940,21857.58,Central,29,0.04,0.26,0.4,Profitable,1.4,Break-even
MKT0053,Campaign_385,2024-05-06,2024-06-05,Google Ads,46-60,9998,471239,11649,1081,10432.22,South,30,0.02,0.09,0.04,Profitable,1.04,Break-even
MKT0054,Campaign_164,2024-10-03,2024-10-15,Social Media,26-35,13551,737659,28793,2074,18019.25,South,12,0.04,0.07,0.33,Profitable,1.33,Break-even
MKT0055,Campaign_170,2024-10-04,2024-10-28,TV,18-25,14767,418396,76114,13653,27925.08,South,24,0.18,0.18,0.89,Profitable,1.89,Break-even
MKT0056,Campaign_439,2024-10-21,2024-11-12,TV,18-25,10784,800075,67284,18070,23417.0,East,22,0.08,0.27,1.17,Profitable,2.17,High Return
MKT0057,Campaign_276,2024-10-06,2024-11-04,Social Media,46-60,9943,467007,47761,5863,18272.72,South,29,0.1,0.12,0.84,Profitable,1.84,Break-even
MKT0058,Campaign_409,2024-07-26,2024-08-10,TV,26-35,18502,38276,6978,1267,33784.64,Central,15,0.18,0.18,0.83,Profitable,1.83,Break-even
MKT0059,Campaign_43,2024-11-25,2024-12-18,Social Media,46-60,2647,282793,23197,1655,3053.82,South,23,0.08,0.07,0.15,Profitable,1.15,Break-even
MKT0060,Campaign_390,2024-07-13,2024-07-31,TV,36-45,16411,30324,4618,115,39449.41,North,18,0.15,0.02,1.4,Profitable,2.4,High Return
MKT0061,Campaign_115,2024-11-28,2024-12-10,Influencer,18-25,9102,219044,37117,7059,8893.47,North,12,0.17,0.19,-0.02,Loss Making,0.98,Loss
MKT0062,Campaign_243,2024-12-08,2024-12-21,Radio,26-35,9396,814150,65205,12109,22808.5,West,13,0.08,0.19,1.43,Profitable,2.43,High Return
MKT0063,Campaign_368,2024-02-28,2024-03-14,Google Ads,18-25,1841,984008,68164,14071,4448.49,Central,15,0.07,0.21,1.42,Profitable,2.42,High Return
MKT0064,Campaign_204,2024-04-11,2024-04-23,Radio,26-35,10882,901597,126231,30750,22770.09,North,12,0.14,0.24,1.09,Profitable,2.09,High Return
MKT0065,Campaign_290,2024-01-22,2024-02-12,Radio,46-60,3259,540538,71909,982,4367.44,East,21,0.13,0.01,0.34,Profitable,1.34,Break-even
MKT0066,Campaign_251,2024-02-24,2024-03-18,Google Ads,46-60,15270,194692,29091,8436,15883.32,South,23,0.15,0.29,0.04,Profitable,1.04,Break-even
MKT0067,Campaign_414,2024-10-02,2024-10-27,TV,46-60,9794,347960,59788,15001,6594.55,Central,25,0.17,0.25,-0.33,Loss Making,0.67,Loss
MKT0068,Campaign_452,2024-08-18,2024-09-04,TV,46-60,1940,528317,90702,5690,1793.03,East,17,0.17,0.06,-0.08,Loss Making,0.92,Loss
MKT0069,Campaign_409,2024-05-12,2024-06-01,Google Ads,36-45,1332,551722,104899,3653,2584.28,Central,20,0.19,0.03,0.94,Profitable,1.94,Break-even
MKT0070,Campaign_251,2024-10-11,2024-10-28,Influencer,46-60,15685,841450,11171,1064,20528.56,West,17,0.01,0.1,0.31,Profitable,1.31,Break-even
MKT0071,Campaign_125,2024-06-05,2024-07-03,Google Ads,46-60,18397,370455,33654,7616,21369.63,Central,28,0.09,0.23,0.16,Profitable,1.16,Break-even
MKT0072,Campaign_360,2024-08-20,2024-09-07,Google Ads,36-45,4953,766321,35703,1594,7784.77,South,18,0.05,0.04,0.57,Profitable,1.57,Break-even
MKT0073,Campaign_391,2024-12-19,2025-01-03,Social Media,26-35,10060,769782,93929,21646,17037.43,West,15,0.12,0.23,0.69,Profitable,1.69,Break-even
MKT0074,Campaign_52,2024-04-09,2024-04-28,Social Media,36-45,10904,24835,3589,167,6444.61,South,19,0.14,0.05,-0.41,Loss Making,0.59,Loss
MKT0075,Campaign_28,2024-10-10,2024-10-29,Influencer,26-35,4361,925112,11407,1054,6355.85,West,19,0.01,0.09,0.46,Profitable,1.46,Break-even
MKT0076,Campaign_175,2024-04-04,2024-04-15,Google Ads,46-60,3141,430172,44493,7890,5882.79,North,11,0.1,0.18,0.87,Profitable,1.87,Break-even
MKT0077,Campaign_78,2024-03-17,2024-04-14,Google Ads,18-25,4881,595181,92398,17170,10159.71,South,28,0.16,0.19,1.08,Profitable,2.08,High Return
MKT0078,Campaign_116,2024-09-24,2024-10-16,TV,46-60,15051,330214,38978,1070,36426.69,East,22,0.12,0.03,1.42,Profitable,2.42,High Return
MKT0079,Campaign_51,2024-04-16,2024-05-16,Social Media,36-45,6146,261516,11251,357,3105.89,North,30,0.04,0.03,-0.49,Loss Making,0.51,Loss
MKT0080,Campaign_231,2024-12-18,2025-01-16,TV,36-45,8585,312099,45042,9632,12088.22,North,29,0.14,0.21,0.41,Profitable,1.41,Break-even
MKT0081,Campaign_352,2024-04-29,2024-05-17,Influencer,26-35,4760,581015,30627,1629,4908.82,West,18,0.05,0.05,0.03,Profitable,1.03,Break-even
MKT0082,Campaign_73,2024-02-06,2024-02-17,Social Media,36-45,19651,975940,63276,2914,36891.92,Central,11,0.06,0.05,0.88,Profitable,1.88,Break-even
MKT0083,Campaign_359,2024-07-25,2024-08-12,Radio,46-60,3635,637086,11195,1514,4160.78,West,18,0.02,0.14,0.14,Profitable,1.14,Break-even
MKT0084,Campaign_129,2024-01-14,2024-01-26,Social Media,18-25,19882,52185,8088,491,30577.08,East,12,0.15,0.06,0.54,Profitable,1.54,Break-even
MKT0085,Campaign_227,2024-05-22,2024-06-06,Radio,46-60,3989,502841,38272,4082,7340.83,West,15,0.08,0.11,0.84,Profitable,1.84,Break-even
MKT0086,Campaign_440,2024-03-23,2024-04-12,TV,46-60,14122,863085,133342,2752,9548.16,East,20,0.15,0.02,-0.32,Loss Making,0.68,Loss
MKT0087,Campaign_130,2024-06-14,2024-06-27,TV,18-25,16138,443321,8998,1442,28165.13,Central,13,0.02,0.16,0.75,Profitable,1.75,Break-even
MKT0088,Campaign_256,2024-11-16,2024-12-10,Email,26-35,18996,147377,27450,3762,36025.92,East,24,0.19,0.14,0.9,Profitable,1.9,Break-even
MKT0089,Campaign_63,2024-01-15,2024-02-14,Radio,26-35,11182,587596,7402,949,10616.21,South,30,0.01,0.13,-0.05,Loss Making,0.95,Loss
MKT0090,Campaign_431,2024-02-28,2024-03-23,Email,26-35,10563,543590,78292,10216,15474.79,West,24,0.14,0.13,0.46,Profitable,1.46,Break-even
MKT0091,Campaign_242,2024-05-04,2024-05-28,Radio,26-35,7245,976648,120988,27394,5600.51,West,24,0.12,0.23,-0.23,Loss Making,0.77,Loss
MKT0092,Campaign_36,2024-05-21,2024-06-13,Google Ads,36-45,10268,771319,51466,9274,25647.46,North,23,0.07,0.18,1.5,Profitable,2.5,High Return
MKT0093,Campaign_251,2024-03-17,2024-04-10,Radio,46-60,11893,588727,91220,10890,28135.32,East,24,0.15,0.12,1.37,Profitable,2.37,High Return
MKT0094,Campaign_446,2024-04-06,2024-04-23,Radio,46-60,14460,55767,3928,578,33646.4,South,17,0.07,0.15,1.33,Profitable,2.33,High Return
MKT0095,Campaign_196,2024-07-16,2024-08-15,Social Media,46-60,5136,536690,103805,11032,3598.95,North,30,0.19,0.11,-0.3,Loss Making,0.7,Loss
MKT0096,Campaign_433,2024-08-13,2024-08-26,Radio,46-60,5723,439893,77191,22484,3717.98,North,13,0.18,0.29,-0.35,Loss Making,0.65,Loss
MKT0097,Campaign_401,2024-05-15,2024-06-04,Radio,46-60,11766,903744,124832,20566,28335.81,North,20,0.14,0.16,1.41,Profitable,2.41,High Return
MKT0098,Campaign_321,2024-09-06,2024-10-03,Email,18-25,10416,248536,37749,5128,7258.77,South,27,0.15,0.14,-0.3,Loss Making,0.7,Loss
MKT0099,Campaign_325,2024-12-26,2025-01-08,TV,26-35,1948,58225,4170,109,2370.57,East,13,0.07,0.03,0.22,Profitable,1.22,Break-even
MKT0100,Campaign_221,2024-03-15,2024-04-01,Radio,46-60,6900,188240,8143,1520,8729.11,Central,17,0.04,0.19,0.27,Profitable,1.27,Break-even
MKT0101,Campaign_350,2024-05-03,2024-05-28,Radio,26-35,16110,678891,39549,3323,8357.79,South,25,0.06,0.08,-0.48,Loss Making,0.52,Loss
MKT0102,Campaign_412,2024-08-26,2024-09-14,Influencer,26-35,15474,372351,73596,7120,37509.88,North,19,0.2,0.1,1.42,Profitable,2.42,High Return
MKT0103,Campaign_354,2024-05-08,2024-06-01,Google Ads,26-35,16833,121834,6709,1179,27768.12,West,24,0.06,0.18,0.65,Profitable,1.65,Break-even
MKT0104,Campaign_359,2024-05-31,2024-06-10,Influencer,46-60,1265,603419,105213,24799,3095.72,East,10,0.17,0.24,1.45,Profitable,2.45,High Return
MKT0105,Campaign_467,2024-11-06,2024-12-01,Google Ads,26-35,12544,239642,31382,5964,23275.75,Central,25,0.13,0.19,0.86,Profitable,1.86,Break-even
MKT0106,Campaign_370,2024-12-03,2024-12-17,Influencer,18-25,11123,836918,78466,13972,21853.58,North,14,0.09,0.18,0.96,Profitable,1.96,Break-even
MKT0107,Campaign_47,2024-05-31,2024-06-20,Influencer,46-60,7579,148579,23689,6258,9335.17,South,20,0.16,0.26,0.23,Profitable,1.23,Break-even
MKT0108,Campaign_257,2024-05-19,2024-06-03,Google Ads,46-60,12099,853298,27205,7868,9455.54,East,15,0.03,0.29,-0.22,Loss Making,0.78,Loss
MKT0109,Campaign_495,2024-04-25,2024-05-17,Radio,36-45,13929,24594,1481,67,17232.56,North,22,0.06,0.05,0.24,Profitable,1.24,Break-even
MKT0110,Campaign_384,2024-12-10,2024-12-28,Radio,46-60,4550,717617,39057,674,10321.54,East,18,0.05,0.02,1.27,Profitable,2.27,High Return
MKT0111,Campaign_288,2024-06-16,2024-07-15,Social Media,18-25,10902,690776,60495,3057,26083.29,West,29,0.09,0.05,1.39,Profitable,2.39,High Return
MKT0112,Campaign_156,2024-09-09,2024-09-22,Email,26-35,5445,417524,40162,8210,10815.3,Central,13,0.1,0.2,0.99,Profitable,1.99,Break-even
MKT0113,Campaign_485,2024-10-03,2024-10-26,Radio,26-35,4244,884190,91050,11686,10198.51,West,23,0.1,0.13,1.4,Profitable,2.4,High Return
MKT0114,Campaign_17,2024-12-19,2025-01-09,Social Media,46-60,8736,907004,71572,21075,10786.08,West,21,0.08,0.29,0.23,Profitable,1.23,Break-even
MKT0115,Campaign_462,2024-11-26,2024-12-17,Email,46-60,7219,138093,26280,6544,4933.08,East,21,0.19,0.25,-0.32,Loss Making,0.68,Loss
MKT0116,Campaign_109,2024-11-24,2024-12-24,Radio,18-25,11928,265400,52516,12510,10859.38,North,30,0.2,0.24,-0.09,Loss Making,0.91,Loss
MKT0117,Campaign_425,2024-10-10,2024-10-26,Radio,26-35,11766,821984,31264,8477,5949.73,South,16,0.04,0.27,-0.49,Loss Making,0.51,Loss
MKT0118,Campaign_440,2024-03-15,2024-03-29,Radio,36-45,4602,703169,122790,5921,5598.26,South,14,0.17,0.05,0.22,Profitable,1.22,Break-even
MKT0119,Campaign_404,2024-05-01,2024-05-29,Google Ads,18-25,9695,64944,2213,292,7051.16,South,28,0.03,0.13,-0.27,Loss Making,0.73,Loss
MKT0120,Campaign_33,2024-08-31,2024-09-24,Google Ads,18-25,17509,242311,45949,1037,36181.54,West,24,0.19,0.02,1.07,Profitable,2.07,High Return
MKT0121,Campaign_444,2024-12-03,2024-12-29,Google Ads,46-60,2993,512248,87587,11703,2142.76,North,26,0.17,0.13,-0.28,Loss Making,0.72,Loss
MKT0122,Campaign_365,2024-08-15,2024-08-27,Email,36-45,5860,78872,2679,511,9790.47,Central,12,0.03,0.19,0.67,Profitable,1.67,Break-even
MKT0123,Campaign_365,2024-06-15,2024-07-07,Radio,36-45,17565,644836,59155,14197,12801.87,West,22,0.09,0.24,-0.27,Loss Making,0.73,Loss
MKT0124,Campaign_336,2024-11-29,2024-12-26,Influencer,26-35,15796,941230,50274,5444,22224.94,West,27,0.05,0.11,0.41,Profitable,1.41,Break-even
MKT0125,Campaign_213,2024-02-18,2024-03-09,TV,36-45,13265,170053,23891,3524,9052.69,East,20,0.14,0.15,-0.32,Loss Making,0.68,Loss
MKT0126,Campaign_44,2024-02-17,2024-03-11,Email,36-45,19231,72894,8851,1529,22294.34,South,23,0.12,0.17,0.16,Profitable,1.16,Break-even
MKT0127,Campaign_63,2024-07-29,2024-08-19,Influencer,46-60,10425,639575,44364,1776,15792.05,North,21,0.07,0.04,0.51,Profitable,1.51,Break-even
MKT0128,Campaign_80,2024-12-02,2024-12-27,Social Media,18-25,19227,395415,12585,1142,18310.22,East,25,0.03,0.09,-0.05,Loss Making,0.95,Loss
MKT0129,Campaign_220,2024-10-14,2024-11-12,Radio,18-25,9763,40359,1787,382,10914.74,Central,29,0.04,0.21,0.12,Profitable,1.12,Break-even
MKT0130,Campaign_174,2024-06-28,2024-07-08,Social Media,26-35,14132,82965,3066,593,7932.49,Central,10,0.04,0.19,-0.44,Loss Making,0.56,Loss
MKT0131,Campaign_383,2024-09-28,2024-10-14,TV,46-60,12170,175055,14058,3082,24993.18,West,16,0.08,0.22,1.05,Profitable,2.05,High Return
MKT0132,Campaign_291,2024-11-01,2024-11-13,Email,26-35,2630,716707,18276,2531,3545.32,South,12,0.03,0.14,0.35,Profitable,1.35,Break-even
MKT0133,Campaign_311,2024-08-14,2024-09-06,Google Ads,26-35,4729,371939,34100,3142,8781.62,Central,23,0.09,0.09,0.86,Profitable,1.86,Break-even
MKT0134,Campaign_250,2024-09-26,2024-10-15,Email,26-35,2795,18060,882,250,5686.98,West,19,0.05,0.28,1.03,Profitable,2.03,High Return
MKT0135,Campaign_392,2024-05-10,2024-05-29,Google Ads,18-25,17298,793301,72844,3457,27074.22,North,19,0.09,0.05,0.57,Profitable,1.57,Break-even
MKT0136,Campaign_118,2024-09-13,2024-10-10,Influencer,36-45,14011,913625,137946,18830,19888.73,North,27,0.15,0.14,0.42,Profitable,1.42,Break-even
MKT0137,Campaign_40,2024-06-09,2024-07-07,TV,46-60,10486,130768,11371,3299,8847.52,West,28,0.09,0.29,-0.16,Loss Making,0.84,Loss
MKT0138,Campaign_486,2024-11-12,2024-12-06,Influencer,36-45,15310,895506,26967,3676,19916.77,North,24,0.03,0.14,0.3,Profitable,1.3,Break-even
MKT0139,Campaign_41,2024-07-21,2024-08-09,Influencer,36-45,11913,826964,34687,5481,8673.3,South,19,0.04,0.16,-0.27,Loss Making,0.73,Loss
MKT0140,Campaign_262,2024-04-09,2024-04-30,Google Ads,26-35,4368,163557,9589,578,3519.47,South,21,0.06,0.06,-0.19,Loss Making,0.81,Loss
MKT0141,Campaign_389,2024-12-01,2024-12-13,Social Media,46-60,19472,806788,96894,20108,44086.48,West,12,0.12,0.21,1.26,Profitable,2.26,High Return
MKT0142,Campaign_330,2024-11-21,2024-12-20,Google Ads,36-45,15410,81603,8086,1561,32247.88,South,29,0.1,0.19,1.09,Profitable,2.09,High Return
MKT0143,Campaign_303,2024-01-29,2024-02-19,Radio,18-25,16130,483866,8296,970,17326.11,East,21,0.02,0.12,0.07,Profitable,1.07,Break-even
MKT0144,Campaign_331,2024-02-16,2024-03-16,Radio,46-60,19163,840281,126374,2767,44421.75,West,29,0.15,0.02,1.32,Profitable,2.32,High Return
MKT0145,Campaign_293,2024-11-29,2024-12-15,Google Ads,46-60,5943,74879,7158,1755,12924.57,Central,16,0.1,0.25,1.17,Profitable,2.17,High Return
MKT0146,Campaign_366,2024-02-13,2024-03-10,Influencer,26-35,9118,751995,70066,9629,14091.83,North,26,0.09,0.14,0.55,Profitable,1.55,Break-even
MKT0147,Campaign_82,2024-07-05,2024-07-26,Google Ads,46-60,12087,721875,89222,21312,21691.46,West,21,0.12,0.24,0.79,Profitable,1.79,Break-even
MKT0148,Campaign_34,2024-06-17,2024-06-30,Radio,46-60,9257,768889,132093,38264,15786.9,East,13,0.17,0.29,0.71,Profitable,1.71,Break-even
MKT0149,Campaign_77,2024-06-19,2024-07-01,Radio,26-35,11165,697923,99601,12317,18869.77,East,12,0.14,0.12,0.69,Profitable,1.69,Break-even
MKT0150,Campaign_481,2024-02-13,2024-03-03,Radio,46-60,5187,712667,102294,29119,12938.08,East,19,0.14,0.28,1.49,Profitable,2.49,High Return
MKT0151,Campaign_468,2024-09-26,2024-10-08,Influencer,46-60,12856,29116,2297,143,11935.32,Central,12,0.08,0.06,-0.07,Loss Making,0.93,Loss
MKT0152,Campaign_486,2024-09-05,2024-09-21,Social Media,26-35,3528,320160,54568,2146,7203.29,South,16,0.17,0.04,1.04,Profitable,2.04,High Return
MKT0153,Campaign_428,2024-09-26,2024-10-07,Influencer,36-45,5294,636258,51903,2961,11449.28,Central,11,0.08,0.06,1.16,Profitable,2.16,High Return
MKT0154,Campaign_395,2024-11-15,2024-11-30,Influencer,46-60,14463,391995,54294,4282,20080.39,North,15,0.14,0.08,0.39,Profitable,1.39,Break-even
MKT0155,Campaign_146,2024-08-17,2024-09-03,Radio,26-35,16368,957885,161567,18850,39189.25,East,17,0.17,0.12,1.39,Profitable,2.39,High Return
MKT0156,Campaign_226,2024-08-24,2024-09-12,TV,46-60,7543,850181,106175,27942,4558.68,South,19,0.12,0.26,-0.4,Loss Making,0.6,Loss
MKT0157,Campaign_247,2024-07-09,2024-08-05,Email,18-25,3748,810185,32779,4598,5722.09,East,27,0.04,0.14,0.53,Profitable,1.53,Break-even
MKT0158,Campaign_426,2024-08-11,2024-08-23,Social Media,46-60,1873,445050,8953,1392,1819.72,East,12,0.02,0.16,-0.03,Loss Making,0.97,Loss
MKT0159,Campaign_42,2024-07-10,2024-07-27,Email,36-45,11986,839822,31702,669,27984.82,North,17,0.04,0.02,1.33,Profitable,2.33,High Return
MKT0160,Campaign_242,2024-12-22,2025-01-05,Influencer,46-60,1172,959860,24047,2025,2543.15,West,14,0.03,0.08,1.17,Profitable,2.17,High Return
MKT0161,Campaign_281,2024-11-07,2024-12-03,TV,18-25,8786,325779,10799,854,15620.66,East,26,0.03,0.08,0.78,Profitable,1.78,Break-even
MKT0162,Campaign_319,2024-08-22,2024-09-03,Email,46-60,18565,27233,3542,626,35962.05,Central,12,0.13,0.18,0.94,Profitable,1.94,Break-even
MKT0163,Campaign_150,2024-08-07,2024-08-17,Radio,36-45,19699,446802,20369,4150,30473.74,South,10,0.05,0.2,0.55,Profitable,1.55,Break-even
MKT0164,Campaign_185,2024-02-04,2024-03-01,Radio,18-25,16405,55649,7277,2143,16524.77,West,26,0.13,0.29,0.01,Profitable,1.01,Break-even
MKT0165,Campaign_9,2024-07-01,2024-07-13,Google Ads,26-35,11895,149890,2761,464,25300.88,North,12,0.02,0.17,1.13,Profitable,2.13,High Return
MKT0166,Campaign_90,2024-12-16,2025-01-09,Influencer,46-60,5418,76165,11123,3154,3109.76,South,24,0.15,0.28,-0.43,Loss Making,0.57,Loss
